code,school,Category,Reading_proficient,Math_proficient
292,Oyster Adams Bilingual School,Hispanic,58%,50%
296,Bruce Monroe ES at Park View,Hispanic,25%,40%
300,Powell ES,Hispanic,45%,41%
302,Raymond EC,Hispanic,40%,46%
309,Seaton ES,Hispanic,44%,53%
313,Shepherd ES,Hispanic,60%,30%
321,Stoddert ES,Hispanic,67%,50%
324,Takoma EC,Hispanic,32%,31%
326,Thomson ES,Hispanic,47%,40%
327,Truesdell EC,Hispanic,36%,53%
328,Tubman ES,Hispanic,47%,31%
336,West EC,Hispanic,50%,53%
338,Whittier EC,Hispanic,54%,46%
370,Langley EC,Hispanic,30%,20%
405,Deal MS,Hispanic,47%,42%
409,School Without Walls at Francis Stevens,Hispanic,53%,65%
421,Kelly Miller MS,Hispanic,23%,85%
433,Jefferson Middle School Academy,Hispanic,67%,50%
442,Columbia Heights EC (CHEC),Hispanic,36%,42%
454,Cardozo EC,Hispanic,22%,27%
459,Roosevelt HS at MacFarland,Hispanic,10%,19%
463,Wilson HS,Hispanic,46%,45%
466,School Without Walls HS,Hispanic,29%,43%
471,Ellington School of the Arts,Hispanic,50%,67%
DCPS,DC Public Schools,Hispanic,41%,42%
212,Brent ES,White,69%,28%
232,Eaton ES,White,65%,41%
246,Hardy MS,White,63%,46%
252,Hyde Addison ES,White,64%,36%
254,Janney ES,White,56%,33%
258,Hearst ES,White,47%,13%
261,Lafayette ES,White,60%,37%
272,Key ES,White,64%,42%
273,Mann ES,White,61%,47%
274,Maury ES,White,73%,48%
287,Murch ES,White,67%,41%
292,Oyster Adams Bilingual School,White,53%,17%
305,Ross ES,White,64%,36%
321,Stoddert ES,White,52%,34%
333,Watkins ES,White,65%,47%
360,Capitol Hill Montessori School at Logan,White,75%,63%
405,Deal MS,White,43%,23%
428,Stuart Hobson MS,White,41%,44%
454,Cardozo EC,White,18%,36%
463,Wilson HS,White,30%,45%
466,School Without Walls HS,White,13%,20%
471,Ellington School of the Arts,White,10%,90%
DCPS,DC Public Schools,White,52%,34%
